chromosome	start	end	total_cn
chr3	134920639	134920640	2
chr20	11380899	11380900	2
chr2	213943163	213943164	2
chr14	89865291	89865292	2
chr10	77313198	77313199	2
chr20	3706848	3706849	2
chr13	84557878	84557879	2
chr8	140480270	140480271	2
chr13	71704604	71704605	2
chr13	42340492	42340493	2
chr20	15522560	15522561	2
chr7	21613125	21613126	2
chr19	45482977	45482978	2
chr2	150085856	150085857	2
chr5	103286243	103286244	2
chr10	80127499	80127500	2
chr4	150604453	150604454	2
chr10	76385204	76385205	2
chr8	106861341	106861342	2
chr16	48562074	48562075	2
chr20	6650715	6650716	2
chr3	116242540	116242541	2
chr8	135916843	135916844	2
chr10	71992265	71992266	2
chr15	68807554	68807555	2
chr13	63102515	63102516	2
chr17	54930355	54930356	2
chr10	91628511	91628512	2
chr11	50415600	50415601	2
chr21	18415896	18415897	2
chr18	35814092	35814093	2
chr4	167988173	167988174	2
chr13	80768035	80768036	2
chr3	173153319	173153320	2
chr11	24729180	24729181	2
chr14	95018176	95018177	2
chr10	76793787	76793788	2
chr1	95197050	95197051	2
chr5	133883810	133883811	2
chr8	109624744	109624745	2
chr21	14440927	14440928	2
chr10	102643814	102643815	2
chr9	95743096	95743097	2
chr22	24107074	24107075	2
chr1	80579595	80579596	2
chr16	60941166	60941167	2
chr6	29754690	29754691	2
chr5	122949354	122949355	2
chr8	86916335	86916336	2
chr10	85502048	85502049	2
chr8	104678033	104678034	2
chr6	20168262	20168263	2
chr19	30486267	30486268	2
chr3	123861279	123861280	2
chr14	20441269	20441270	2
chr19	50032166	50032167	2
chr3	171575040	171575041	2
chr19	48285113	48285114	2
chr11	16229412	16229413	2
chr7	44030422	44030423	2
chr18	49312781	49312782	2
chr6	36416124	36416125	2
chr19	58795678	58795679	2
chr8	106839718	106839719	2
chr4	175603194	175603195	2
chr7	41953851	41953852	2
chr17	35143684	35143685	2
chr16	58051880	58051881	2
chr14	60719132	60719133	2
chr10	105657258	105657259	2
chr13	22972814	22972815	2
chr12	80080118	80080119	2
chr18	48915525	48915526	2
chr7	1578324	1578325	2
chr6	24330980	24330981	2
chr21	22234737	22234738	2
chr22	28514998	28514999	2
chr9	107709773	107709774	2
chr10	86157746	86157747	2
chr6	15789973	15789974	2
